DataSeries,year_month,no_of_visitors
    Africa,1998Nov,7123
        Egypt,1998Nov,na
        Mauritius,1998Nov,na
        South Africa (Rep Of),1998Nov,na
        Other Markets In Africa,1998Nov,na
    Others,1998Nov,1043
Total International Visitor Arrivals By Inbound Tourism Markets,1998Oct,498695
    Southeast Asia,1998Oct,147799
        Brunei Darussalam,1998Oct,3929
        Indonesia,1998Oct,73537
        Malaysia,1998Oct,38392
        Myanmar,1998Oct,1564
        Philippines,1998Oct,11221
        Thailand,1998Oct,16628
        Vietnam,1998Oct,1874
        Other Markets In Southeast Asia,1998Oct,na
    Greater China,1998Oct,na
        China,1998Oct,22143
        Hong Kong SAR,1998Oct,21358
        Taiwan,1998Oct,22512
        Other Markets In Greater China,1998Oct,na
    North Asia,1998Oct,na
        Japan,1998Oct,58112
        South Korea,1998Oct,11286
        Other Markets In North Asia,1998Oct,na
    South Asia,1998Oct,33834
        Bangladesh,1998Oct,2570
        India,1998Oct,22960
        Pakistan,1998Oct,2544
        Sri Lanka,1998Oct,4347
        Other Markets In South Asia,1998Oct,1413
    West Asia,1998Oct,3965
        Iran,1998Oct,538
        Israel,1998Oct,na
        Kuwait,1998Oct,232
        Saudi Arabia,1998Oct,1017
        United Arab Emirates,1998Oct,992
        Other Markets In West Asia,1998Oct,na
    Americas,1998Oct,34391
        Canada,1998Oct,5478
        USA,1998Oct,27087
        Other Markets In Americas,1998Oct,na
    Europe,1998Oct,85173
        Belgium & Luxembourg,1998Oct,1614
        Denmark,1998Oct,2244
        Finland,1998Oct,1419
        France,1998Oct,5315
        Germany,1998Oct,15213
        Italy,1998Oct,3127
        Netherlands,1998Oct,5371
        Norway,1998Oct,1934
        Rep Of Ireland,1998Oct,na
        Russian Federation,1998Oct,na
        Spain,1998Oct,1088
        Sweden,1998Oct,3265
        Switzerland,1998Oct,4814
        United Kingdom,1998Oct,31285
        Other Markets In Europe,1998Oct,na
    Oceania,1998Oct,49893
        Australia,1998Oct,41035
        New Zealand,1998Oct,7814
        Other Markets In Oceania,1998Oct,1044
    Africa,1998Oct,6554
        Egypt,1998Oct,na
        Mauritius,1998Oct,na
        South Africa (Rep Of),1998Oct,na
        Other Markets In Africa,1998Oct,na
    Others,1998Oct,1052
Total International Visitor Arrivals By Inbound Tourism Markets,1998Sep,482654
    Southeast Asia,1998Sep,139977
        Brunei Darussalam,1998Sep,4055
        Indonesia,1998Sep,63871
        Malaysia,1998Sep,43272
        Myanmar,1998Sep,1390
        Philippines,1998Sep,10863
        Thailand,1998Sep,14238
        Vietnam,1998Sep,1715
        Other Markets In Southeast Asia,1998Sep,na
    Greater China,1998Sep,na
        China,1998Sep,18523
        Hong Kong SAR,1998Sep,17543
        Taiwan,1998Sep,21404
        Other Markets In Greater China,1998Sep,na
    North Asia,1998Sep,na
        Japan,1998Sep,80645
        South Korea,1998Sep,8791
        Other Markets In North Asia,1998Sep,na
    South Asia,1998Sep,31034
        Bangladesh,1998Sep,2667
        India,1998Sep,19889
        Pakistan,1998Sep,2429
        Sri Lanka,1998Sep,4436
        Other Markets In South Asia,1998Sep,1613
    West Asia,1998Sep,4848
        Iran,1998Sep,659
        Israel,1998Sep,na
        Kuwait,1998Sep,495
        Saudi Arabia,1998Sep,1111
        United Arab Emirates,1998Sep,1304
        Other Markets In West Asia,1998Sep,na
    Americas,1998Sep,29131
        Canada,1998Sep,4306
        USA,1998Sep,23019
        Other Markets In Americas,1998Sep,na
    Europe,1998Sep,72520
        Belgium & Luxembourg,1998Sep,1422
        Denmark,1998Sep,1642
        Finland,1998Sep,1019
        France,1998Sep,4696
        Germany,1998Sep,13437
        Italy,1998Sep,3151
        Netherlands,1998Sep,4457
        Norway,1998Sep,1352
        Rep Of Ireland,1998Sep,na
        Russian Federation,1998Sep,na
        Spain,1998Sep,860
        Sweden,1998Sep,1814
        Switzerland,1998Sep,3244
        United Kingdom,1998Sep,27971
        Other Markets In Europe,1998Sep,na
    Oceania,1998Sep,50332
        Australia,1998Sep,39610
        New Zealand,1998Sep,9830
        Other Markets In Oceania,1998Sep,892
    Africa,1998Sep,6101
        Egypt,1998Sep,na
        Mauritius,1998Sep,na
        South Africa (Rep Of),1998Sep,na
        Other Markets In Africa,1998Sep,na
    Others,1998Sep,1282
Total International Visitor Arrivals By Inbound Tourism Markets,1998Aug,569901
    Southeast Asia,1998Aug,148730
        Brunei Darussalam,1998Aug,3717
        Indonesia,1998Aug,76256
        Malaysia,1998Aug,38710
        Myanmar,1998Aug,1477
        Philippines,1998Aug,11293
        Thailand,1998Aug,14463
        Vietnam,1998Aug,2212
        Other Markets In Southeast Asia,1998Aug,na
    Greater China,1998Aug,na
        China,1998Aug,30923
        Hong Kong SAR,1998Aug,30615
        Taiwan,1998Aug,37063
        Other Markets In Greater China,1998Aug,na
    North Asia,1998Aug,na
        Japan,1998Aug,90011
        South Korea,1998Aug,10073
        Other Markets In North Asia,1998Aug,na
    South Asia,1998Aug,31455
        Bangladesh,1998Aug,3068
        India,1998Aug,18431
        Pakistan,1998Aug,3123
        Sri Lanka,1998Aug,5276
        Other Markets In South Asia,1998Aug,1557
    West Asia,1998Aug,12510
        Iran,1998Aug,529
        Israel,1998Aug,na
        Kuwait,1998Aug,1713
        Saudi Arabia,1998Aug,4534
        United Arab Emirates,1998Aug,3746
        Other Markets In West Asia,1998Aug,na
    Americas,1998Aug,32299
        Canada,1998Aug,4809
        USA,1998Aug,26333
        Other Markets In Americas,1998Aug,na
    Europe,1998Aug,91502
        Belgium & Luxembourg,1998Aug,1901
        Denmark,1998Aug,1693
        Finland,1998Aug,839
        France,1998Aug,8982
        Germany,1998Aug,13756
        Italy,1998Aug,6950
        Netherlands,1998Aug,5265
        Norway,1998Aug,1406
        Rep Of Ireland,1998Aug,na
        Russian Federation,1998Aug,na
        Spain,1998Aug,1681
        Sweden,1998Aug,2124
        Switzerland,1998Aug,3295
        United Kingdom,1998Aug,33194
        Other Markets In Europe,1998Aug,na
    Oceania,1998Aug,45119
        Australia,1998Aug,36162
        New Zealand,1998Aug,8134
        Other Markets In Oceania,1998Aug,823
    Africa,1998Aug,7239
        Egypt,1998Aug,na
        Mauritius,1998Aug,na
        South Africa (Rep Of),1998Aug,na
        Other Markets In Africa,1998Aug,na
    Others,1998Aug,1067
Total International Visitor Arrivals By Inbound Tourism Markets,1998Jul,556870
    Southeast Asia,1998Jul,155994
        Brunei Darussalam,1998Jul,5133
        Indonesia,1998Jul,79119
        Malaysia,1998Jul,41413
        Myanmar,1998Jul,1369
        Philippines,1998Jul,11130
        Thailand,1998Jul,15094
        Vietnam,1998Jul,1928
        Other Markets In Southeast Asia,1998Jul,na
    Greater China,1998Jul,na
        China,1998Jul,30318
        Hong Kong SAR,1998Jul,26338
        Taiwan,1998Jul,32648
        Other Markets In Greater China,1998Jul,na
    North Asia,1998Jul,na
        Japan,1998Jul,85403
        South Korea,1998Jul,8611
        Other Markets In North Asia,1998Jul,na
    South Asia,1998Jul,33567
        Bangladesh,1998Jul,3334
        India,1998Jul,20872
        Pakistan,1998Jul,3688
        Sri Lanka,1998Jul,4265
        Other Markets In South Asia,1998Jul,1408
    West Asia,1998Jul,13031
        Iran,1998Jul,391
        Israel,1998Jul,na
        Kuwait,1998Jul,1582
        Saudi Arabia,1998Jul,5303
        United Arab Emirates,1998Jul,3659
        Other Markets In West Asia,1998Jul,na
    Americas,1998Jul,34541
        Canada,1998Jul,4789
        USA,1998Jul,28157
        Other Markets In Americas,1998Jul,na
    Europe,1998Jul,76823
        Belgium & Luxembourg,1998Jul,1934
        Denmark,1998Jul,2126
        Finland,1998Jul,887
        France,1998Jul,6512
        Germany,1998Jul,11019
        Italy,1998Jul,3384
        Netherlands,1998Jul,5669
        Norway,1998Jul,1915
        Rep Of Ireland,1998Jul,na
        Russian Federation,1998Jul,na
        Spain,1998Jul,1056
        Sweden,1998Jul,2543
        Switzerland,1998Jul,4264
        United Kingdom,1998Jul,26971
        Other Markets In Europe,1998Jul,na
    Oceania,1998Jul,51009
        Australia,1998Jul,40049
        New Zealand,1998Jul,9849
        Other Markets In Oceania,1998Jul,1111
    Africa,1998Jul,6896
        Egypt,1998Jul,na
        Mauritius,1998Jul,na
        South Africa (Rep Of),1998Jul,na
        Other Markets In Africa,1998Jul,na
    Others,1998Jul,1057
Total International Visitor Arrivals By Inbound Tourism Markets,1998Jun,487361
    Southeast Asia,1998Jun,156771
        Brunei Darussalam,1998Jun,4713
        Indonesia,1998Jun,77611
        Malaysia,1998Jun,43702
        Myanmar,1998Jun,1485
        Philippines,1998Jun,12061
        Thailand,1998Jun,14562
        Vietnam,1998Jun,2021
        Other Markets In Southeast Asia,1998Jun,na
    Greater China,1998Jun,na
        China,1998Jun,20735
        Hong Kong SAR,1998Jun,21328
        Taiwan,1998Jun,33537
        Other Markets In Greater China,1998Jun,na
    North Asia,1998Jun,na
        Japan,1998Jun,65582
        South Korea,1998Jun,6441
        Other Markets In North Asia,1998Jun,na
    South Asia,1998Jun,34740
        Bangladesh,1998Jun,3061
        India,1998Jun,23374
        Pakistan,1998Jun,3182
        Sri Lanka,1998Jun,3634
        Other Markets In South Asia,1998Jun,1489
    West Asia,1998Jun,4554
        Iran,1998Jun,461
        Israel,1998Jun,na
        Kuwait,1998Jun,285
        Saudi Arabia,1998Jun,1186
        United Arab Emirates,1998Jun,1288
        Other Markets In West Asia,1998Jun,na
    Americas,1998Jun,33809
        Canada,1998Jun,3965
        USA,1998Jun,28239
        Other Markets In Americas,1998Jun,na
    Europe,1998Jun,60369
        Belgium & Luxembourg,1998Jun,1241
        Denmark,1998Jun,1511
        Finland,1998Jun,989
        France,1998Jun,4639
        Germany,1998Jun,9134
        Italy,1998Jun,2482
        Netherlands,1998Jun,3668
        Norway,1998Jun,1398
        Rep Of Ireland,1998Jun,na
        Russian Federation,1998Jun,na
        Spain,1998Jun,672
        Sweden,1998Jun,2248
        Switzerland,1998Jun,2493
        United Kingdom,1998Jun,22208
        Other Markets In Europe,1998Jun,na
    Oceania,1998Jun,42634
        Australia,1998Jun,34608
        New Zealand,1998Jun,7116
        Other Markets In Oceania,1998Jun,910
    Africa,1998Jun,5534
        Egypt,1998Jun,na
        Mauritius,1998Jun,na
        South Africa (Rep Of),1998Jun,na
        Other Markets In Africa,1998Jun,na
    Others,1998Jun,586
Total International Visitor Arrivals By Inbound Tourism Markets,1998May,548506
    Southeast Asia,1998May,212356
        Brunei Darussalam,1998May,4971
        Indonesia,1998May,121760
        Malaysia,1998May,49151
        Myanmar,1998May,1777
        Philippines,1998May,14987
        Thailand,1998May,17320
        Vietnam,1998May,1708
        Other Markets In Southeast Asia,1998May,na
    Greater China,1998May,na
        China,1998May,23233
        Hong Kong SAR,1998May,19515
        Taiwan,1998May,30579
        Other Markets In Greater China,1998May,na
    North Asia,1998May,na
        Japan,1998May,56948
        South Korea,1998May,6294
        Other Markets In North Asia,1998May,na
    South Asia,1998May,39796
        Bangladesh,1998May,3657
        India,1998May,27516
        Pakistan,1998May,3085
        Sri Lanka,1998May,3946
        Other Markets In South Asia,1998May,1592
    West Asia,1998May,3423
        Iran,1998May,492
        Israel,1998May,na
        Kuwait,1998May,188
        Saudi Arabia,1998May,703
        United Arab Emirates,1998May,875
        Other Markets In West Asia,1998May,na
    Americas,1998May,36737
        Canada,1998May,4770
        USA,1998May,30196
        Other Markets In Americas,1998May,na
    Europe,1998May,70838
        Belgium & Luxembourg,1998May,1402
        Denmark,1998May,1773
        Finland,1998May,1214
        France,1998May,6309
        Germany,1998May,11978
        Italy,1998May,2812
        Netherlands,1998May,4798
        Norway,1998May,1249
        Rep Of Ireland,1998May,na
        Russian Federation,1998May,na
        Spain,1998May,941
        Sweden,1998May,2321
        Switzerland,1998May,3336
        United Kingdom,1998May,25235
        Other Markets In Europe,1998May,na
    Oceania,1998May,42395
        Australia,1998May,34649
        New Zealand,1998May,6875
        Other Markets In Oceania,1998May,871
    Africa,1998May,5187
        Egypt,1998May,na
        Mauritius,1998May,na
        South Africa (Rep Of),1998May,na
        Other Markets In Africa,1998May,na
    Others,1998May,614
Total International Visitor Arrivals By Inbound Tourism Markets,1998Apr,491496
    Southeast Asia,1998Apr,146836
        Brunei Darussalam,1998Apr,4981
        Indonesia,1998Apr,59552
        Malaysia,1998Apr,44793
        Myanmar,1998Apr,1813
        Philippines,1998Apr,14996
        Thailand,1998Apr,17979
        Vietnam,1998Apr,1850
        Other Markets In Southeast Asia,1998Apr,na
    Greater China,1998Apr,na
        China,1998Apr,20174
        Hong Kong SAR,1998Apr,28389
        Taiwan,1998Apr,27173
        Other Markets In Greater China,1998Apr,na
    North Asia,1998Apr,na
        Japan,1998Apr,54096
        South Korea,1998Apr,5797
        Other Markets In North Asia,1998Apr,na
    South Asia,1998Apr,31795
        Bangladesh,1998Apr,3446
        India,1998Apr,19397
        Pakistan,1998Apr,2445
        Sri Lanka,1998Apr,5080
        Other Markets In South Asia,1998Apr,1427
    West Asia,1998Apr,5087
        Iran,1998Apr,744
        Israel,1998Apr,na
        Kuwait,1998Apr,347
        Saudi Arabia,1998Apr,1685
        United Arab Emirates,1998Apr,1207
        Other Markets In West Asia,1998Apr,na
    Americas,1998Apr,33426
        Canada,1998Apr,4725
        USA,1998Apr,27264
        Other Markets In Americas,1998Apr,na
    Europe,1998Apr,89544
        Belgium & Luxembourg,1998Apr,1910
        Denmark,1998Apr,2268
        Finland,1998Apr,1297
        France,1998Apr,7338
        Germany,1998Apr,16371
        Italy,1998Apr,2977
        Netherlands,1998Apr,4619
        Norway,1998Apr,2109
        Rep Of Ireland,1998Apr,na
        Russian Federation,1998Apr,na
        Spain,1998Apr,1056
        Sweden,1998Apr,2779
        Switzerland,1998Apr,4529
        United Kingdom,1998Apr,32177
        Other Markets In Europe,1998Apr,na
    Oceania,1998Apr,40960
        Australia,1998Apr,33725
        New Zealand,1998Apr,6505
        Other Markets In Oceania,1998Apr,730
    Africa,1998Apr,7114
        Egypt,1998Apr,na
        Mauritius,1998Apr,na
        South Africa (Rep Of),1998Apr,na
        Other Markets In Africa,1998Apr,na
    Others,1998Apr,630
Total International Visitor Arrivals By Inbound Tourism Markets,1998Mar,519496
    Southeast Asia,1998Mar,146330
        Brunei Darussalam,1998Mar,5660
        Indonesia,1998Mar,63396
        Malaysia,1998Mar,44830
        Myanmar,1998Mar,1773
        Philippines,1998Mar,12981
        Thailand,1998Mar,15029
        Vietnam,1998Mar,1884
        Other Markets In Southeast Asia,1998Mar,na
    Greater China,1998Mar,na
        China,1998Mar,21438
        Hong Kong SAR,1998Mar,24235
        Taiwan,1998Mar,25321
        Other Markets In Greater China,1998Mar,na
    North Asia,1998Mar,na
        Japan,1998Mar,80598
        South Korea,1998Mar,5479
        Other Markets In North Asia,1998Mar,na
    South Asia,1998Mar,30466
        Bangladesh,1998Mar,4041
        India,1998Mar,17510
        Pakistan,1998Mar,3051
        Sri Lanka,1998Mar,4215
        Other Markets In South Asia,1998Mar,1649
    West Asia,1998Mar,5571
        Iran,1998Mar,2100
        Israel,1998Mar,na
        Kuwait,1998Mar,184
        Saudi Arabia,1998Mar,993
        United Arab Emirates,1998Mar,1115
        Other Markets In West Asia,1998Mar,na
    Americas,1998Mar,40269
        Canada,1998Mar,5930
        USA,1998Mar,33056
        Other Markets In Americas,1998Mar,na
    Europe,1998Mar,93584
        Belgium & Luxembourg,1998Mar,2322
        Denmark,1998Mar,2747
        Finland,1998Mar,1571
        France,1998Mar,6780
