Region/Country,year_month,no_of_visitors
Other Markets In West Asia,2013-09-01,2072
Americas,2013-09-01,43109
Canada,2013-09-01,4937
USA,2013-09-01,33741
Other Markets In Americas,2013-09-01,4431
Europe,2013-09-01,117020
Belgium & Luxembourg,2013-09-01,2051
Denmark,2013-09-01,1964
Finland,2013-09-01,1558
France,2013-09-01,10508
Germany,2013-09-01,21012
Italy,2013-09-01,5029
Netherlands,2013-09-01,6272
Norway,2013-09-01,2250
Rep Of Ireland,2013-09-01,1298
Russian Federation,2013-09-01,4726
Spain,2013-09-01,3636
Sweden,2013-09-01,1952
Switzerland,2013-09-01,7402
United Kingdom,2013-09-01,36541
Other Markets In Europe,2013-09-01,10821
Oceania,2013-09-01,117498
Australia,2013-09-01,105179
New Zealand,2013-09-01,11081
Other Markets In Oceania,2013-09-01,1238
Africa,2013-09-01,5852
Egypt,2013-09-01,316
Mauritius,2013-09-01,428
South Africa (Rep Of),2013-09-01,2934
Other Markets In Africa,2013-09-01,2174
Others,2013-09-01,18
Total International Visitor Arrivals By Inbound Tourism Markets,2013-08-01,1483520
Southeast Asia,2013-08-01,585102
Brunei Darussalam,2013-08-01,6109
Indonesia,2013-08-01,328174
Malaysia,2013-08-01,116392
Myanmar,2013-08-01,7020
Philippines,2013-08-01,51817
Thailand,2013-08-01,36548
Vietnam,2013-08-01,34980
Other Markets In Southeast Asia,2013-08-01,4062
Greater China,2013-08-01,348046
China,2013-08-01,242256
Hong Kong SAR,2013-08-01,61337
Taiwan,2013-08-01,40571
Other Markets In Greater China,2013-08-01,3882
North Asia,2013-08-01,138341
Japan,2013-08-01,92179
South Korea,2013-08-01,45986
Other Markets In North Asia,2013-08-01,176
South Asia,2013-08-01,90823
Bangladesh,2013-08-01,10463
India,2013-08-01,66274
Pakistan,2013-08-01,1956
Sri Lanka,2013-08-01,10237
Other Markets In South Asia,2013-08-01,1893
West Asia,2013-08-01,24739
Iran,2013-08-01,961
Israel,2013-08-01,1270
Kuwait,2013-08-01,2943
Saudi Arabia,2013-08-01,3606
United Arab Emirates,2013-08-01,10701
Other Markets In West Asia,2013-08-01,5258
Americas,2013-08-01,49860
Canada,2013-08-01,7008
USA,2013-08-01,39079
Other Markets In Americas,2013-08-01,3773
Europe,2013-08-01,150069
Belgium & Luxembourg,2013-08-01,2838
Denmark,2013-08-01,1995
Finland,2013-08-01,1092
France,2013-08-01,21876
Germany,2013-08-01,22265
Italy,2013-08-01,13117
Netherlands,2013-08-01,8568
Norway,2013-08-01,2273
Rep Of Ireland,2013-08-01,1562
Russian Federation,2013-08-01,5184
Spain,2013-08-01,6584
Sweden,2013-08-01,2049
Switzerland,2013-08-01,7638
United Kingdom,2013-08-01,39533
Other Markets In Europe,2013-08-01,13495
Oceania,2013-08-01,91154
Australia,2013-08-01,79221
New Zealand,2013-08-01,10765
Other Markets In Oceania,2013-08-01,1168
Africa,2013-08-01,5357
Egypt,2013-08-01,371
Mauritius,2013-08-01,624
South Africa (Rep Of),2013-08-01,1730
Other Markets In Africa,2013-08-01,2632
Others,2013-08-01,29
Total International Visitor Arrivals By Inbound Tourism Markets,2013-07-01,1419657
Southeast Asia,2013-07-01,512094
Brunei Darussalam,2013-07-01,5922
Indonesia,2013-07-01,260700
Malaysia,2013-07-01,93299
Myanmar,2013-07-01,8427
Philippines,2013-07-01,49225
Thailand,2013-07-01,41912
Vietnam,2013-07-01,47834
Other Markets In Southeast Asia,2013-07-01,4775
Greater China,2013-07-01,366741
China,2013-07-01,248635
Hong Kong SAR,2013-07-01,67662
Taiwan,2013-07-01,47290
Other Markets In Greater China,2013-07-01,3154
North Asia,2013-07-01,112139
Japan,2013-07-01,70113
South Korea,2013-07-01,41913
Other Markets In North Asia,2013-07-01,113
South Asia,2013-07-01,94977
Bangladesh,2013-07-01,11364
India,2013-07-01,73550
Pakistan,2013-07-01,1512
Sri Lanka,2013-07-01,7038
Other Markets In South Asia,2013-07-01,1513
West Asia,2013-07-01,12094
Iran,2013-07-01,606
Israel,2013-07-01,1313
Kuwait,2013-07-01,475
Saudi Arabia,2013-07-01,935
United Arab Emirates,2013-07-01,6403
Other Markets In West Asia,2013-07-01,2362
Americas,2013-07-01,56981
Canada,2013-07-01,7401
USA,2013-07-01,45176
Other Markets In Americas,2013-07-01,4404
Europe,2013-07-01,130507
Belgium & Luxembourg,2013-07-01,3049
Denmark,2013-07-01,3672
Finland,2013-07-01,1295
France,2013-07-01,15466
Germany,2013-07-01,18262
Italy,2013-07-01,5303
Netherlands,2013-07-01,9591
Norway,2013-07-01,3501
Rep Of Ireland,2013-07-01,1654
Russian Federation,2013-07-01,4784
Spain,2013-07-01,4024
Sweden,2013-07-01,2710
Switzerland,2013-07-01,10154
United Kingdom,2013-07-01,35349
Other Markets In Europe,2013-07-01,11693
Oceania,2013-07-01,128840
Australia,2013-07-01,112743
New Zealand,2013-07-01,14813
Other Markets In Oceania,2013-07-01,1284
Africa,2013-07-01,5242
Egypt,2013-07-01,224
Mauritius,2013-07-01,693
South Africa (Rep Of),2013-07-01,2528
Other Markets In Africa,2013-07-01,1797
Others,2013-07-01,42
Total International Visitor Arrivals By Inbound Tourism Markets,2013-06-01,1288950
Southeast Asia,2013-06-01,557007
Brunei Darussalam,2013-06-01,7837
Indonesia,2013-06-01,295907
Malaysia,2013-06-01,107286
Myanmar,2013-06-01,7718
Philippines,2013-06-01,55868
Thailand,2013-06-01,36018
Vietnam,2013-06-01,42194
Other Markets In Southeast Asia,2013-06-01,4179
Greater China,2013-06-01,243393
China,2013-06-01,166890
Hong Kong SAR,2013-06-01,43857
Taiwan,2013-06-01,29680
Other Markets In Greater China,2013-06-01,2966
North Asia,2013-06-01,94290
Japan,2013-06-01,57757
South Korea,2013-06-01,36409
Other Markets In North Asia,2013-06-01,124
South Asia,2013-06-01,121033
Bangladesh,2013-06-01,10360
India,2013-06-01,99754
Pakistan,2013-06-01,2770
Sri Lanka,2013-06-01,6206
Other Markets In South Asia,2013-06-01,1943
West Asia,2013-06-01,13492
Iran,2013-06-01,699
Israel,2013-06-01,1215
Kuwait,2013-06-01,857
Saudi Arabia,2013-06-01,2839
United Arab Emirates,2013-06-01,5375
Other Markets In West Asia,2013-06-01,2507
Americas,2013-06-01,56119
Canada,2013-06-01,5748
USA,2013-06-01,45860
Other Markets In Americas,2013-06-01,4511
Europe,2013-06-01,94881
Belgium & Luxembourg,2013-06-01,1735
Denmark,2013-06-01,1868
Finland,2013-06-01,1620
France,2013-06-01,9349
Germany,2013-06-01,13453
Italy,2013-06-01,4185
Netherlands,2013-06-01,5661
Norway,2013-06-01,2463
Rep Of Ireland,2013-06-01,1388
Russian Federation,2013-06-01,4264
Spain,2013-06-01,2278
Sweden,2013-06-01,2240
Switzerland,2013-06-01,5735
United Kingdom,2013-06-01,28866
Other Markets In Europe,2013-06-01,9776
Oceania,2013-06-01,103351
Australia,2013-06-01,91231
New Zealand,2013-06-01,10626
Other Markets In Oceania,2013-06-01,1494
Africa,2013-06-01,5298
Egypt,2013-06-01,410
Mauritius,2013-06-01,582
South Africa (Rep Of),2013-06-01,2645
Other Markets In Africa,2013-06-01,1661
Others,2013-06-01,86
Total International Visitor Arrivals By Inbound Tourism Markets,2013-05-01,1288282
Southeast Asia,2013-05-01,534890
Brunei Darussalam,2013-05-01,5574
Indonesia,2013-05-01,251092
Malaysia,2013-05-01,109517
Myanmar,2013-05-01,8432
Philippines,2013-05-01,76929
Thailand,2013-05-01,48171
Vietnam,2013-05-01,30496
Other Markets In Southeast Asia,2013-05-01,4679
Greater China,2013-05-01,263093
China,2013-05-01,198429
Hong Kong SAR,2013-05-01,40898
Taiwan,2013-05-01,22261
Other Markets In Greater China,2013-05-01,1505
North Asia,2013-05-01,89444
Japan,2013-05-01,55491
South Korea,2013-05-01,33857
Other Markets In North Asia,2013-05-01,96
South Asia,2013-05-01,141973
Bangladesh,2013-05-01,9611
India,2013-05-01,122030
Pakistan,2013-05-01,1646
Sri Lanka,2013-05-01,7066
Other Markets In South Asia,2013-05-01,1620
West Asia,2013-05-01,8816
Iran,2013-05-01,421
Israel,2013-05-01,1044
Kuwait,2013-05-01,320
Saudi Arabia,2013-05-01,954
United Arab Emirates,2013-05-01,4477
Other Markets In West Asia,2013-05-01,1600
Americas,2013-05-01,47760
Canada,2013-05-01,6699
USA,2013-05-01,36909
Other Markets In Americas,2013-05-01,4152
Europe,2013-05-01,101794
Belgium & Luxembourg,2013-05-01,1850
Denmark,2013-05-01,1691
Finland,2013-05-01,1527
France,2013-05-01,12432
Germany,2013-05-01,15763
Italy,2013-05-01,4407
Netherlands,2013-05-01,5916
Norway,2013-05-01,1904
Rep Of Ireland,2013-05-01,1264
Russian Federation,2013-05-01,5566
Spain,2013-05-01,2317
Sweden,2013-05-01,2199
Switzerland,2013-05-01,6663
United Kingdom,2013-05-01,27724
Other Markets In Europe,2013-05-01,10571
Oceania,2013-05-01,95910
Australia,2013-05-01,84444
New Zealand,2013-05-01,10225
Other Markets In Oceania,2013-05-01,1241
Africa,2013-05-01,4506
Egypt,2013-05-01,249
Mauritius,2013-05-01,500
South Africa (Rep Of),2013-05-01,2301
Other Markets In Africa,2013-05-01,1456
Others,2013-05-01,96
Total International Visitor Arrivals By Inbound Tourism Markets,2013-04-01,1274246
Southeast Asia,2013-04-01,497388
Brunei Darussalam,2013-04-01,4486
Indonesia,2013-04-01,218602
Malaysia,2013-04-01,95414
Myanmar,2013-04-01,13031
Philippines,2013-04-01,73215
Thailand,2013-04-01,54728
Vietnam,2013-04-01,31863
Other Markets In Southeast Asia,2013-04-01,6049
Greater China,2013-04-01,293857
China,2013-04-01,227870
Hong Kong SAR,2013-04-01,40252
Taiwan,2013-04-01,24261
Other Markets In Greater China,2013-04-01,1474
North Asia,2013-04-01,84637
Japan,2013-04-01,53292
South Korea,2013-04-01,31296
Other Markets In North Asia,2013-04-01,49
South Asia,2013-04-01,101705
Bangladesh,2013-04-01,9832
India,2013-04-01,76103
Pakistan,2013-04-01,1572
Sri Lanka,2013-04-01,12588
Other Markets In South Asia,2013-04-01,1610
West Asia,2013-04-01,11626
Iran,2013-04-01,504
Israel,2013-04-01,1023
Kuwait,2013-04-01,479
Saudi Arabia,2013-04-01,1089
United Arab Emirates,2013-04-01,6582
Other Markets In West Asia,2013-04-01,1949
Americas,2013-04-01,52338
Canada,2013-04-01,7769
USA,2013-04-01,38908
Other Markets In Americas,2013-04-01,5661
Europe,2013-04-01,123042
Belgium & Luxembourg,2013-04-01,2025
Denmark,2013-04-01,2149
Finland,2013-04-01,2213
France,2013-04-01,13403
Germany,2013-04-01,18494
Italy,2013-04-01,4011
Netherlands,2013-04-01,5891
Norway,2013-04-01,3073
Rep Of Ireland,2013-04-01,1255
Russian Federation,2013-04-01,6499
Spain,2013-04-01,2508
Sweden,2013-04-01,3243
Switzerland,2013-04-01,7455
United Kingdom,2013-04-01,38620
Other Markets In Europe,2013-04-01,12203
Oceania,2013-04-01,104538
Australia,2013-04-01,94285
New Zealand,2013-04-01,9035
Other Markets In Oceania,2013-04-01,1218
Africa,2013-04-01,5056
Egypt,2013-04-01,324
Mauritius,2013-04-01,738
South Africa (Rep Of),2013-04-01,2494
Other Markets In Africa,2013-04-01,1500
Others,2013-04-01,59
Total International Visitor Arrivals By Inbound Tourism Markets,2013-03-01,1368891
Southeast Asia,2013-03-01,523832
Brunei Darussalam,2013-03-01,8290
Indonesia,2013-03-01,259244
Malaysia,2013-03-01,108683
Myanmar,2013-03-01,8693
Philippines,2013-03-01,63521
Thailand,2013-03-01,44202
Vietnam,2013-03-01,27732
Other Markets In Southeast Asia,2013-03-01,3467
Greater China,2013-03-01,280596
China,2013-03-01,205790
Hong Kong SAR,2013-03-01,50220
Taiwan,2013-03-01,22606
Other Markets In Greater China,2013-03-01,1980
North Asia,2013-03-01,124217
Japan,2013-03-01,87359
South Korea,2013-03-01,36755
Other Markets In North Asia,2013-03-01,103
South Asia,2013-03-01,91079
Bangladesh,2013-03-01,9617
India,2013-03-01,70480
Pakistan,2013-03-01,1734
Sri Lanka,2013-03-01,7474
Other Markets In South Asia,2013-03-01,1774
West Asia,2013-03-01,14304
Iran,2013-03-01,2223
Israel,2013-03-01,1241
Kuwait,2013-03-01,550
Saudi Arabia,2013-03-01,1610
United Arab Emirates,2013-03-01,6560
Other Markets In West Asia,2013-03-01,2120
Americas,2013-03-01,62006
Canada,2013-03-01,9635
USA,2013-03-01,46881
Other Markets In Americas,2013-03-01,5490
Europe,2013-03-01,170603
Belgium & Luxembourg,2013-03-01,2712
Denmark,2013-03-01,3545
Finland,2013-03-01,3271
France,2013-03-01,16120
Germany,2013-03-01,31307
Italy,2013-03-01,5463
Netherlands,2013-03-01,7476
Norway,2013-03-01,4885
Rep Of Ireland,2013-03-01,1856
Russian Federation,2013-03-01,7873
Spain,2013-03-01,3469
Sweden,2013-03-01,5395
Switzerland,2013-03-01,7766
United Kingdom,2013-03-01,52527
Other Markets In Europe,2013-03-01,16938
Oceania,2013-03-01,95912
Australia,2013-03-01,87652
New Zealand,2013-03-01,7087
Other Markets In Oceania,2013-03-01,1173
Africa,2013-03-01,5755
Egypt,2013-03-01,289
Mauritius,2013-03-01,572
South Africa (Rep Of),2013-03-01,3184
Other Markets In Africa,2013-03-01,1710
Others,2013-03-01,587
Total International Visitor Arrivals By Inbound Tourism Markets,2013-02-01,1221365
Southeast Asia,2013-02-01,405346
Brunei Darussalam,2013-02-01,4427
Indonesia,2013-02-01,196059
Malaysia,2013-02-01,91895
Myanmar,2013-02-01,5680
Philippines,2013-02-01,44540
Thailand,2013-02-01,30311
Vietnam,2013-02-01,28981
Other Markets In Southeast Asia,2013-02-01,3453
Greater China,2013-02-01,342660
China,2013-02-01,252958
Hong Kong SAR,2013-02-01,48473
Taiwan,2013-02-01,39087
Other Markets In Greater China,2013-02-01,2142
North Asia,2013-02-01,108731
Japan,2013-02-01,68442
South Korea,2013-02-01,40229
Other Markets In North Asia,2013-02-01,60
South Asia,2013-02-01,76153
Bangladesh,2013-02-01,7379
India,2013-02-01,59665
Pakistan,2013-02-01,1249
Sri Lanka,2013-02-01,6392
Other Markets In South Asia,2013-02-01,1468
West Asia,2013-02-01,9734
Iran,2013-02-01,731
Israel,2013-02-01,1196
Kuwait,2013-02-01,1302
Saudi Arabia,2013-02-01,972
United Arab Emirates,2013-02-01,3873
Other Markets In West Asia,2013-02-01,1660
Americas,2013-02-01,54112
Canada,2013-02-01,8995
USA,2013-02-01,40696
Other Markets In Americas,2013-02-01,4421
Europe,2013-02-01,144455
Belgium & Luxembourg,2013-02-01,1973
Denmark,2013-02-01,3673
Finland,2013-02-01,3755
France,2013-02-01,12621
Germany,2013-02-01,23053
Italy,2013-02-01,4309
Netherlands,2013-02-01,7098
Norway,2013-02-01,3524
Rep Of Ireland,2013-02-01,1361
Russian Federation,2013-02-01,6482
Spain,2013-02-01,2530
Sweden,2013-02-01,5440
Switzerland,2013-02-01,7107
United Kingdom,2013-02-01,44608
Other Markets In Europe,2013-02-01,16921
Oceania,2013-02-01,76189
Australia,2013-02-01,69470
New Zealand,2013-02-01,5735
Other Markets In Oceania,2013-02-01,984
Africa,2013-02-01,3659
Egypt,2013-02-01,288
Mauritius,2013-02-01,459
South Africa (Rep Of),2013-02-01,1606
Other Markets In Africa,2013-02-01,1306
Others,2013-02-01,326
Total International Visitor Arrivals By Inbound Tourism Markets,2013-01-01,1291718
Southeast Asia,2013-01-01,460013
Brunei Darussalam,2013-01-01,5773
Indonesia,2013-01-01,254725
Malaysia,2013-01-01,89300
Myanmar,2013-01-01,6819
Philippines,2013-01-01,44201
Thailand,2013-01-01,32897
Vietnam,2013-01-01,22879
Other Markets In Southeast Asia,2013-01-01,3419
Greater China,2013-01-01,256173
China,2013-01-01,189107
Hong Kong SAR,2013-01-01,32438
Taiwan,2013-01-01,32717
Other Markets In Greater China,2013-01-01,1911
North Asia,2013-01-01,116158
Japan,2013-01-01,62857
South Korea,2013-01-01,53193
Other Markets In North Asia,2013-01-01,108
South Asia,2013-01-01,92370
Bangladesh,2013-01-01,10584
India,2013-01-01,71162
Pakistan,2013-01-01,1778
Sri Lanka,2013-01-01,6741
Other Markets In South Asia,2013-01-01,2105
West Asia,2013-01-01,10529
Iran,2013-01-01,675
Israel,2013-01-01,1351
Kuwait,2013-01-01,456
Saudi Arabia,2013-01-01,1988
United Arab Emirates,2013-01-01,4424
Other Markets In West Asia,2013-01-01,1635
Americas,2013-01-01,61382
Canada,2013-01-01,9798
USA,2013-01-01,45736
Other Markets In Americas,2013-01-01,5848
Europe,2013-01-01,155741
Belgium & Luxembourg,2013-01-01,2185
Denmark,2013-01-01,3745
Finland,2013-01-01,3877
France,2013-01-01,12798
Germany,2013-01-01,22837
Italy,2013-01-01,6262
Netherlands,2013-01-01,7153
Norway,2013-01-01,3382
Rep Of Ireland,2013-01-01,1631
Russian Federation,2013-01-01,12197
Spain,2013-01-01,2516
Sweden,2013-01-01,6892
Switzerland,2013-01-01,7957
United Kingdom,2013-01-01,42983
Other Markets In Europe,2013-01-01,19326
Oceania,2013-01-01,132869
Australia,2013-01-01,119592
New Zealand,2013-01-01,11908
Other Markets In Oceania,2013-01-01,1369
Africa,2013-01-01,6338
Egypt,2013-01-01,277
Mauritius,2013-01-01,909
South Africa (Rep Of),2013-01-01,3191
Other Markets In Africa,2013-01-01,1961
Others,2013-01-01,145
Total International Visitor Arrivals By Inbound Tourism Markets,2012-12-01,1360536
Southeast Asia,2012-12-01,593887
Brunei Darussalam,2012-12-01,12353
Indonesia,2012-12-01,307155
Malaysia,2012-12-01,135669
Myanmar,2012-12-01,8073
Philippines,2012-12-01,58363
Thailand,2012-12-01,40548
Vietnam,2012-12-01,28176
Other Markets In Southeast Asia,2012-12-01,3550
Greater China,2012-12-01,236886
China,2012-12-01,171109
Hong Kong SAR,2012-12-01,42299
Taiwan,2012-12-01,20995
Other Markets In Greater China,2012-12-01,2483
North Asia,2012-12-01,100909
Japan,2012-12-01,69538
South Korea,2012-12-01,31232
Other Markets In North Asia,2012-12-01,139
South Asia,2012-12-01,103142
Bangladesh,2012-12-01,10096
India,2012-12-01,78272
Pakistan,2012-12-01,1717
Sri Lanka,2012-12-01,10726
Other Markets In South Asia,2012-12-01,2331
West Asia,2012-12-01,12180
Iran,2012-12-01,693
Israel,2012-12-01,1035
Kuwait,2012-12-01,698
Saudi Arabia,2012-12-01,1100
United Arab Emirates,2012-12-01,6444
Other Markets In West Asia,2012-12-01,2210
Americas,2012-12-01,57292
Canada,2012-12-01,8932
USA,2012-12-01,43787
Other Markets In Americas,2012-12-01,4573
Europe,2012-12-01,131438
Belgium & Luxembourg,2012-12-01,1922
Denmark,2012-12-01,2391
Finland,2012-12-01,3668
France,2012-12-01,11810
Germany,2012-12-01,22338
Italy,2012-12-01,4986
Netherlands,2012-12-01,6028
Norway,2012-12-01,2970
Rep Of Ireland,2012-12-01,1395
Russian Federation,2012-12-01,7303
Spain,2012-12-01,2415
Sweden,2012-12-01,5809
Switzerland,2012-12-01,6923
United Kingdom,2012-12-01,38331
Other Markets In Europe,2012-12-01,13149
Oceania,2012-12-01,115234
Australia,2012-12-01,103207
New Zealand,2012-12-01,10323
Other Markets In Oceania,2012-12-01,1704
Africa,2012-12-01,8884
Egypt,2012-12-01,277
Mauritius,2012-12-01,1271
South Africa (Rep Of),2012-12-01,4940
Other Markets In Africa,2012-12-01,2396
Others,2012-12-01,684
Total International Visitor Arrivals By Inbound Tourism Markets,2012-11-01,1212079
Southeast Asia,2012-11-01,484855
Brunei Darussalam,2012-11-01,6194
Indonesia,2012-11-01,229432
Malaysia,2012-11-01,124008
Myanmar,2012-11-01,6870
Philippines,2012-11-01,55125
Thailand,2012-11-01,33908
Vietnam,2012-11-01,25249
Other Markets In Southeast Asia,2012-11-01,4069
Greater China,2012-11-01,235903
China,2012-11-01,177112
Hong Kong SAR,2012-11-01,36704
Taiwan,2012-11-01,20223
Other Markets In Greater China,2012-11-01,1864
North Asia,2012-11-01,104935
Japan,2012-11-01,70696
South Korea,2012-11-01,34014
Other Markets In North Asia,2012-11-01,225
South Asia,2012-11-01,93535
Bangladesh,2012-11-01,8922
India,2012-11-01,74794
Pakistan,2012-11-01,1395
Sri Lanka,2012-11-01,6607
Other Markets In South Asia,2012-11-01,1817
West Asia,2012-11-01,9208
Iran,2012-11-01,738
Israel,2012-11-01,1091
Kuwait,2012-11-01,416
Saudi Arabia,2012-11-01,1006
United Arab Emirates,2012-11-01,4305
Other Markets In West Asia,2012-11-01,1652
Americas,2012-11-01,52501
Canada,2012-11-01,7659
USA,2012-11-01,40170
Other Markets In Americas,2012-11-01,4672
Europe,2012-11-01,131485
Belgium & Luxembourg,2012-11-01,2188
Denmark,2012-11-01,2290
Finland,2012-11-01,2889
France,2012-11-01,12585
Germany,2012-11-01,20254
Italy,2012-11-01,5298
Netherlands,2012-11-01,6638
Norway,2012-11-01,3502
Rep Of Ireland,2012-11-01,1683
Russian Federation,2012-11-01,6370
Spain,2012-11-01,3264
Sweden,2012-11-01,3875
Switzerland,2012-11-01,7564
United Kingdom,2012-11-01,39523
Other Markets In Europe,2012-11-01,13562
Oceania,2012-11-01,93865
Australia,2012-11-01,83972
New Zealand,2012-11-01,8550
Other Markets In Oceania,2012-11-01,1343
Africa,2012-11-01,5397
Egypt,2012-11-01,341
Mauritius,2012-11-01,1158
South Africa (Rep Of),2012-11-01,2230
Other Markets In Africa,2012-11-01,1668
Others,2012-11-01,395
Total International Visitor Arrivals By Inbound Tourism Markets,2012-10-01,1192580
Southeast Asia,2012-10-01,465620
Brunei Darussalam,2012-10-01,5070
Indonesia,2012-10-01,215668
Malaysia,2012-10-01,93945
Myanmar,2012-10-01,6935
Philippines,2012-10-01,56058
Thailand,2012-10-01,57136
Vietnam,2012-10-01,25749
Other Markets In Southeast Asia,2012-10-01,5059
