Region/Country,year_month,no_of_visitors
Sri Lanka,2024-02-01,4111
Other Markets In South Asia,2024-02-01,2964
West Asia,2024-02-01,11498
Iran,2024-02-01,506
Israel,2024-02-01,1346
Kuwait,2024-02-01,510
Saudi Arabia,2024-02-01,2003
United Arab Emirates,2024-02-01,4982
Other Markets In West Asia,2024-02-01,2151
Americas,2024-02-01,81002
Canada,2024-02-01,12948
USA,2024-02-01,60333
Other Markets In Americas,2024-02-01,7721
Europe,2024-02-01,201201
Belgium & Luxembourg,2024-02-01,2444
Denmark,2024-02-01,3320
Finland,2024-02-01,3277
France,2024-02-01,17244
Germany,2024-02-01,37724
Italy,2024-02-01,5038
Netherlands,2024-02-01,7294
Norway,2024-02-01,2659
Rep Of Ireland,2024-02-01,2344
Russian Federation,2024-02-01,7152
Spain,2024-02-01,3659
Sweden,2024-02-01,3178
Switzerland,2024-02-01,7967
United Kingdom,2024-02-01,68148
Other Markets In Europe,2024-02-01,29753
Oceania,2024-02-01,90105
Australia,2024-02-01,79386
New Zealand,2024-02-01,8093
Other Markets In Oceania,2024-02-01,2626
Africa,2024-02-01,3976
Egypt,2024-02-01,220
Mauritius,2024-02-01,292
South Africa (Rep Of),2024-02-01,1621
Other Markets In Africa,2024-02-01,1843
Others,2024-02-01,57
Total International Visitor Arrivals By Inbound Tourism Markets,2024-01-01,1419956
Southeast Asia,2024-01-01,486141
Brunei Darussalam,2024-01-01,5215
Indonesia,2024-01-01,268958
Malaysia,2024-01-01,93381
Myanmar,2024-01-01,12361
Philippines,2024-01-01,46287
Thailand,2024-01-01,27194
Vietnam,2024-01-01,25911
Other Markets In Southeast Asia,2024-01-01,6834
Greater China,2024-01-01,276899
China,2024-01-01,211178
Hong Kong SAR,2024-01-01,23419
Taiwan,2024-01-01,38454
Other Markets In Greater China,2024-01-01,3848
North Asia,2024-01-01,117148
Japan,2024-01-01,37684
South Korea,2024-01-01,79254
Other Markets In North Asia,2024-01-01,210
South Asia,2024-01-01,102934
Bangladesh,2024-01-01,10332
India,2024-01-01,82113
Pakistan,2024-01-01,1411
Sri Lanka,2024-01-01,5586
Other Markets In South Asia,2024-01-01,3492
West Asia,2024-01-01,11377
Iran,2024-01-01,409
Israel,2024-01-01,1075
Kuwait,2024-01-01,955
Saudi Arabia,2024-01-01,2079
United Arab Emirates,2024-01-01,4759
Other Markets In West Asia,2024-01-01,2100
Americas,2024-01-01,84243
Canada,2024-01-01,12878
USA,2024-01-01,62008
Other Markets In Americas,2024-01-01,9357
Europe,2024-01-01,191737
Belgium & Luxembourg,2024-01-01,2302
Denmark,2024-01-01,2986
Finland,2024-01-01,3490
France,2024-01-01,12945
Germany,2024-01-01,40120
Italy,2024-01-01,5573
Netherlands,2024-01-01,7685
Norway,2024-01-01,2128
Rep Of Ireland,2024-01-01,2218
Russian Federation,2024-01-01,9466
Spain,2024-01-01,3992
Sweden,2024-01-01,3658
Switzerland,2024-01-01,7463
United Kingdom,2024-01-01,59068
Other Markets In Europe,2024-01-01,28643
Oceania,2024-01-01,143332
Australia,2024-01-01,124104
New Zealand,2024-01-01,14418
Other Markets In Oceania,2024-01-01,4810
Africa,2024-01-01,6104
Egypt,2024-01-01,279
Mauritius,2024-01-01,548
South Africa (Rep Of),2024-01-01,3197
Other Markets In Africa,2024-01-01,2080
Others,2024-01-01,41
Total International Visitor Arrivals By Inbound Tourism Markets,2023-12-01,1231565
Southeast Asia,2023-12-01,495668
Brunei Darussalam,2023-12-01,9281
Indonesia,2023-12-01,244322
Malaysia,2023-12-01,102683
Myanmar,2023-12-01,13146
Philippines,2023-12-01,62866
Thailand,2023-12-01,29987
Vietnam,2023-12-01,24680
Other Markets In Southeast Asia,2023-12-01,8703
Greater China,2023-12-01,176872
China,2023-12-01,130156
Hong Kong SAR,2023-12-01,26440
Taiwan,2023-12-01,17394
Other Markets In Greater China,2023-12-01,2882
North Asia,2023-12-01,71445
Japan,2023-12-01,32124
South Korea,2023-12-01,39198
Other Markets In North Asia,2023-12-01,123
South Asia,2023-12-01,114964
Bangladesh,2023-12-01,11743
India,2023-12-01,92620
Pakistan,2023-12-01,1629
Sri Lanka,2023-12-01,5975
Other Markets In South Asia,2023-12-01,2997
West Asia,2023-12-01,12730
