date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
27/12/2018,Thursday,Friday,24,32,60,95,Pre-dawn hours thundery showers.,Thundery Showers,15,25,WNW,49.75,50.33,49.83,31.25,44.08,45.05,south_avg_daily_psi,Good,0,0,0,0,28.4,31,26.6,7.2,29.5,71.46,3.11
28/12/2018,Friday,Saturday,24,33,60,95,Occasionally windy with predawn hours thundery showers.,Thundery Showers,15,30,WNW,54.17,53.83,55,38.83,52.67,50.9,east_avg_daily_psi,Good,0,0,0,0,29.6,33.1,27.1,6.8,29.5,66.51,1.07
29/12/2018,Saturday,Sunday,24,34,60,95,Occasionally windy with afternoon passing showers.,Passing Showers,15,30,NW,51.08,55.25,55.08,44.83,53.58,51.97,south_avg_daily_psi,Moderate,0,0,0,0,28.6,30.6,26.4,5.8,21.2,74.21,2.59
30/12/2018,Sunday,Monday,24,33,55,95,Occasionally windy with late afternoon passing showers.,Passing Showers,15,30,NW,55.17,57.75,57.92,47.83,53.83,54.5,east_avg_daily_psi,Moderate,2.8,2.8,2.8,2.8,0,0,0,4.7,20.5,80.44,0
31/12/2018,Monday,Tuesday,24,34,55,95,Windy with afternoon passing showers.,Passing Showers,15,30,NW,39.58,51.58,50,35.58,36.67,42.68,south_avg_daily_psi,Good,48.6,30.6,34.8,47.6,0,0,0,4.5,23.3,0,0
1/1/2019,Tuesday,Wednesday,24,33,55,95,Windy with afternoon passing showers.,Passing Showers,15,30,NW,40.25,38.42,34.17,24.83,33.75,34.28,north_avg_daily_psi,Good,6.6,5.6,6.2,6.6,28.2,33.9,25,5.4,31,0,0
2/1/2019,Wednesday,Thursday,24,33,55,95,Windy with morning passing showers.,Passing Showers,20,35,WNW,41.58,41.83,44.67,26.25,41,39.07,east_avg_daily_psi,Good,0.2,0.2,0.2,0.2,29,32.9,26.1,8.6,29.5,62.86,6.36
3/1/2019,Thursday,Friday,25,34,55,95,Late afternoon thundery showers.,Thundery Showers,15,25,W,54.25,56.92,56.17,52.42,55.33,55.02,south_avg_daily_psi,Moderate,0.6,0.4,0.6,0.6,29.2,32,27,12.2,40.3,73.65,7.75
4/1/2019,Friday,Saturday,24,33,60,95,Predawn hours and afternoon thundery showers.,Thundery Showers,5,15,VARIABLE,54,58.42,56.33,50.75,54.83,54.87,south_avg_daily_psi,Moderate,0,0,0,0,29.5,32.1,27.2,8.6,34.2,69.4,2.15
5/1/2019,Saturday,Sunday,24,34,60,90,Afternoon thundery showers.,Thundery Showers,10,20,NE,56.58,60.58,58.17,55.08,55.5,57.18,south_avg_daily_psi,Moderate,0,0,0,0,29,31.6,27.1,5.8,26.3,74.41,2.57
6/1/2019,Sunday,Monday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,25,NE,57.42,62.5,58.42,59.58,58.67,59.32,south_avg_daily_psi,Moderate,0,0,0,0,29.3,33.3,27.3,5.8,27.7,72.17,3.07
7/1/2019,Monday,Tuesday,24,32,60,95,"Periods of showers, at times with thunder.",Showers,5,15,ENE,39.75,52.25,46.42,33.17,47.33,43.78,south_avg_daily_psi,Good,0,0,0,0,29.3,33.2,26.9,6.5,28.8,69.09,2.98
8/1/2019,Tuesday,Wednesday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE,34.08,46.17,39.17,28.5,46.92,38.97,central_avg_daily_psi,Good,15.8,8.2,8.4,8.8,28.3,32.2,25,5,34.6,76.32,2.72
